indice_tiempo,agricultura_ganaderia_caza_silvicultura,pesca,explotacion_minas_canteras,industrias_manufactureras,suministro_electricidad_gas_agua,construccion,comercio_reparaciones,hoteles_restaurantes,transporte_almacenamiento_comunicaciones,intermediacion_financiera,actividades_inmobiliarias_empresariales_alquiler,ensenianza,servicios_sociales_salud,otras_actividades_servicios_comunitarias_soc_personales,total
2003-03-01,492.0,2333.0,2696.0,1149.0,1813.0,707.0,770.0,569.0,1140.0,1945.0,797.0,548.0,830.0,854.0,931.0
2003-04-01,494.0,2291.0,2689.0,1165.0,1733.0,691.0,773.0,570.0,1160.0,1967.0,795.0,550.0,838.0,859.0,931.0
2003-05-01,506.0,2359.0,2617.0,1162.0,1781.0,699.0,790.0,586.0,1160.0,1981.0,818.0,555.0,872.0,892.0,943.0
2003-06-01,520.0,2513.0,2782.0,1148.0,1781.0,701.0,770.0,568.0,1151.0,1950.0,816.0,554.0,848.0,873.0,935.0
2003-07-01,584.0,2424.0,2942.0,1170.0,1812.0,710.0,809.0,597.0,1177.0,1998.0,835.0,556.0,912.0,901.0,966.0
2003-08-01,578.0,2304.0,2825.0,1190.0,1838.0,715.0,812.0,610.0,1213.0,2035.0,846.0,553.0,905.0,919.0,976.0
2003-09-01,595.0,2660.0,2798.0,1197.0,1841.0,723.0,826.0,629.0,1233.0,2064.0,841.0,561.0,944.0,942.0,988.0
2003-10-01,605.0,2504.0,2846.0,1230.0,1868.0,745.0,840.0,646.0,1285.0,2039.0,878.0,563.0,952.0,954.0,1009.0
2003-11-01,606.0,2532.0,2865.0,1265.0,1952.0,769.0,857.0,661.0,1283.0,2080.0,890.0,584.0,984.0,962.0,1028.0
2003-12-01,610.0,2692.0,2910.0,1280.0,1959.0,768.0,872.0,671.0,1265.0,2120.0,896.0,573.0,969.0,969.0,1037.0
2004-01-01,618.0,2705.0,2959.0,1300.0,1967.0,799.0,902.0,703.0,1347.0,2181.0,920.0,587.0,1016.0,1016.0,1066.0
2004-02-01,612.0,2690.0,3036.0,1337.0,1983.0,818.0,905.0,710.0,1396.0,2211.0,930.0,590.0,1007.0,1005.0,1074.0
2004-03-01,654.0,2833.0,3052.0,1380.0,2060.0,854.0,932.0,735.0,1432.0,2283.0,958.0,595.0,1042.0,1042.0,1116.0
2004-04-01,653.0,2572.0,2947.0,1369.0,2067.0,839.0,941.0,744.0,1449.0,2173.0,970.0,593.0,1050.0,1033.0,1110.0
2004-05-01,654.0,2428.0,3034.0,1374.0,2017.0,814.0,932.0,746.0,1383.0,2214.0,977.0,599.0,1034.0,1037.0,1107.0
2004-06-01,656.0,2716.0,3002.0,1362.0,2140.0,828.0,935.0,737.0,1419.0,2244.0,968.0,608.0,1038.0,1040.0,1109.0
2004-07-01,650.0,2214.0,2989.0,1360.0,2065.0,817.0,928.0,733.0,1416.0,2197.0,965.0,626.0,1053.0,1027.0,1105.0
2004-08-01,647.0,2295.0,3073.0,1374.0,2057.0,828.0,930.0,730.0,1410.0,2251.0,960.0,639.0,1063.0,1030.0,1110.0
2004-09-01,656.0,2370.0,3009.0,1368.0,2095.0,824.0,930.0,738.0,1429.0,2206.0,966.0,644.0,1046.0,1027.0,1108.0
2004-10-01,652.0,2481.0,3186.0,1386.0,2092.0,848.0,938.0,743.0,1443.0,2279.0,964.0,653.0,1064.0,1028.0,1122.0
2004-11-01,661.0,2585.0,3042.0,1390.0,2137.0,846.0,948.0,746.0,1438.0,2244.0,983.0,661.0,1060.0,1033.0,1126.0
2004-12-01,674.0,2572.0,3224.0,1413.0,2124.0,860.0,949.0,759.0,1483.0,2302.0,992.0,671.0,1062.0,1046.0,1144.0
2005-01-01,687.0,2598.0,3570.0,1503.0,2111.0,878.0,1005.0,801.0,1556.0,2311.0,1027.0,698.0,1126.0,1102.0,1196.0
2005-02-01,691.0,3121.0,3363.0,1492.0,2240.0,897.0,1011.0,801.0,1526.0,2267.0,1054.0,721.0,1114.0,1102.0,1195.0
2005-03-01,702.0,2878.0,3450.0,1546.0,2249.0,921.0,1022.0,841.0,1580.0,2316.0,1059.0,698.0,1118.0,1113.0,1218.0
